id,app_name,package_name,date_of_analysis,developer,category,number_of_downloads,data_safety_link,privacy_policy_link
282,Find Love. Chat Now!,com.meetapp.free.loveme,15-09-2023,MeetApp Dating,Dating,500K+,https://play.google.com/store/apps/datasafety?id=com.meetapp.free.loveme,http://kazanlachani.com/terms/privacy.html
283,Marriage Photo Frames,com.ram.marriagephotoframes,15-09-2023,RamkumarApps,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.ram.marriagephotoframes,https://ramkumarapps.blogspot.com/2022/07/ramkumar-apps-privacy-policy.html
284,"Photo frame, Photo collage",com.editor.photo.flower.photoframe,15-09-2023,video maker pvd,Photography,1M+,https://play.google.com/store/apps/datasafety?id=com.editor.photo.flower.photoframe,https://sites.google.com/view/photoframe-photocollage-pvd
285,Join - Meet & Live chat,com.videochat.dateu.online,15-09-2023,sweet.dating.you,Dating,1M+,https://play.google.com/store/apps/datasafety?id=com.videochat.dateu.online,http://joinapp.ltd/privacyjoin.html
286,Photo Suit Editor&Fashion Suit,com.photo.suit.editor,15-09-2023,Crazy Softech Games,Photography,5M+,https://play.google.com/store/apps/datasafety?id=com.photo.suit.editor,http://onex-28c2.kxcdn.com/moreapps/CrazySoftech-Privacy-Policy.html
287,Passport Size Photo Maker,com.zmobileapps.passportphoto,15-09-2023,Z Mobile Apps,Photography,5M+,https://play.google.com/store/apps/datasafety?id=com.zmobileapps.passportphoto,https://zmobileapps.wordpress.com/
288,DruzeLink,com.druzelink,15-09-2023,DruzeLink,Dating,5K+,https://play.google.com/store/apps/datasafety?id=com.druzelink,https://druzelink.com/privacy
289,Edit Photos And Videos,com.tricore.newyear.fireworks,15-09-2023,Tri Core,Photography,1M+,https://play.google.com/store/apps/datasafety?id=com.tricore.newyear.fireworks,https://sites.google.com/site/tricoreapps/privacy-policy
290,Hijab Fashion Photo Frames,freeappshouse.hijab.fashion.photo.frames,15-09-2023,Freedom Apps House,Photography,100K+,https://play.google.com/store/apps/datasafety?id=freeappshouse.hijab.fashion.photo.frames,https://docs.google.com/document/d/e/2PACX-1vR-30NJ2cHJZ9BX16jqDVpC4CTmeP0its0UoCyIPMyIIiQiR2p4Dks-_RrRsiDf0cR-ZV6pJkT5bL8B/pub
291,دمج الصور والاغانى وصنع فيديو ‎,com.hafidabano.alkitaba.sowarmodhila,15-09-2023,hafidabano,Photography,500K+,https://play.google.com/store/apps/datasafety?id=com.hafidabano.alkitaba.sowarmodhila,http://newapparabic.blogspot.com/2017/05/privacy-policy.html
292,Pongal Photo Frames,com.ram.pongalframes,15-09-2023,RamkumarApps,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.ram.pongalframes,https://ramkumarapps.blogspot.com/2022/07/ramkumar-apps-privacy-policy.html
293,Love Photo Frame,com.Square.Photo.Frame.Collection.lovephotoframe,15-09-2023,Square Photo Frame Collection,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.Square.Photo.Frame.Collection.lovephotoframe,https://squarephotoframecollection.blogspot.com/2020/06/square-photo-frame-collection.html
294,Fitafy : Fitness Dating,com.fitfam.findr,15-09-2023,Fitafy,Dating,50K+,https://play.google.com/store/apps/datasafety?id=com.fitfam.findr,https://fitafy.com/privacy
295,Guardian Soulmates Online Dati,com.theguardian.soulmates,15-09-2023,Guardian News & Media Ltd,Dating,10K+,https://play.google.com/store/apps/datasafety?id=com.theguardian.soulmates,https://soulmates.theguardian.com/privacy
296,Photo Background Changer,com.wisdomlogix.background.remover.change.bg,15-09-2023,Wisdomlogix Solutions,Photography,1M+,https://play.google.com/store/apps/datasafety?id=com.wisdomlogix.background.remover.change.bg,https://wisdomlogix.com/app/background-remover/privacy-policy.html
297,Beauty Camera - Selfie Editor,com.camera.sweet.selfie.beauty.camera,15-09-2023,Roomb Apps,Photography,10M+,https://play.google.com/store/apps/datasafety?id=com.camera.sweet.selfie.beauty.camera,https://www.socem.com/PrivacyPolicy.html
298,Recolor - Change Colors,kalisohn.android.recolor,15-09-2023,kalisohn,Photography,100K+,https://play.google.com/store/apps/datasafety?id=kalisohn.android.recolor,https://kalisohn.wordpress.com/recolor-privacy-policy/
299,HD Photo Editor - Pic Editor,com.photoeditor.photocollage.hdphotoeditor,15-09-2023,G3G,Photography,5M+,https://play.google.com/store/apps/datasafety?id=com.photoeditor.photocollage.hdphotoeditor,https://entertaimentteam-de043.web.app/
300,Alovoa Lite,com.alovoa.alovoa_playstore,15-09-2023,alovoa.com TEAM,Dating,1K+,https://play.google.com/store/apps/datasafety?id=com.alovoa.alovoa_playstore,https://alovoa.com/privacy
