id,app_name,package_name,date_of_analysis,developer,category,number_of_downloads,data_safety_link,privacy_policy_link
170,Interior Photo Frames,com.appbites.interiorphotoframes,15-09-2023,App Bites,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.appbites.interiorphotoframes,https://kirakapps.com/privacy_policy.html
171,Story Maker - Insta Story Art,com.pixelsdev.storymaker,15-09-2023,Pixels Dev Studio,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.pixelsdev.storymaker,https://pixelsdevphotoapps.blogspot.com/p/privacy-policy.html
172,عکس نوشته ساز (فارسی)‎,com.fa.typegraphi,15-09-2023,WebJow,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.fa.typegraphi,https://topjow.org/privacy.php?id=com.fa.typegraphi
173,USA Dating,datee.mobi,15-09-2023,ApoLeaf,Dating,1M+,https://play.google.com/store/apps/datasafety?id=datee.mobi,http://datee.mobi/privacy_policy.html
174,Garden Photo Frames,com.Christmas.Photo_Frames.Background.Editor,15-09-2023,Crazy Softech,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.Christmas.Photo_Frames.Background.Editor,http://onex-28c2.kxcdn.com/moreapps/CrazySoftech-Privacy-Policy.html
175,dittoed,mnara.dittoed,15-09-2023,Mnara Solutions Inc.,Photography,100K+,https://play.google.com/store/apps/datasafety?id=mnara.dittoed,https://dittoed.pages.dev/privacy-policy
176,Love Flower Photo Frames,com.Flower.Photo.frames.HD_Photoframes.app,15-09-2023,Crazy Softech,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.Flower.Photo.frames.HD_Photoframes.app,http://onex-28c2.kxcdn.com/moreapps/CrazySoftech-Privacy-Policy.html
177,Frame Photo Collage,com.atsdev.framephotocollage,15-09-2023,AT Software Developers,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.atsdev.framephotocollage,https://atsoftdeveloper.wordpress.com/
178,CamJoy : Live video chatting,com.camjoy.live.app,15-09-2023,Innovation app,Dating,10K+,https://play.google.com/store/apps/datasafety?id=com.camjoy.live.app,https://sites.google.com/view/camjoyapp/home
179,Find Lover,com.foreverbilisim.sevgilibul,15-09-2023,ayesoft,Dating,1M+,https://play.google.com/store/apps/datasafety?id=com.foreverbilisim.sevgilibul,https://www.ayesoft.net/apps-privacy-policy.html
180,Flower Photo Frames,com.newappxone.flowerphotoframes,15-09-2023,App Xone,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.newappxone.flowerphotoframes,https://newappxone.com/privacy_policy.html
181,Casual Hookup Dating - Kasual,co.lucky.hookup,15-09-2023,Yumi Limited,Dating,500K+,https://play.google.com/store/apps/datasafety?id=co.lucky.hookup,https://www.kasualapp.com/privacy/
182,Kippo - Come Hang Out,com.covalent.kippo,15-09-2023,Covalent Inc.,Dating,500K+,https://play.google.com/store/apps/datasafety?id=com.covalent.kippo,https://kippo.com/legal/privacy/
183,Smiley Face Photo Editor,com.photoeditor.app.smileyface.sticker,15-09-2023,Studio GRF,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.photoeditor.app.smileyface.sticker,https://studiogrf-privacyp.blogspot.com/p/blog-page_26.html
184,EUdate - European dating for n,europeandating.europesingles.nearbymeet,15-09-2023,SeniorsHug,Dating,50K+,https://play.google.com/store/apps/datasafety?id=europeandating.europesingles.nearbymeet,https://www.seniorshug.com/privacy
185,Long frock photo suit,com.mvltrapps.longfrockphotosuit,15-09-2023,MVLTR Apps,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.mvltrapps.longfrockphotosuit,https://www.mvltrapps.com/privacy-policy.php
186,Free Dating Hook Up Messenger,com.dating.apps.cupid,15-09-2023,Free Hook Up Dating Flirting Apps,Dating,500K+,https://play.google.com/store/apps/datasafety?id=com.dating.apps.cupid,https://findnowme.com/privacy
187,Love Calculator 2023,apptrends.love_test_calculator_lovephotoframes,15-09-2023,AppTrendz Studio,Photography,1M+,https://play.google.com/store/apps/datasafety?id=apptrends.love_test_calculator_lovephotoframes,http://www.apptrends.co.in/privacy-policy-2/
188,صور حالات بأسماء بنات  بدون نت‎,com.yovic.girlybanat,15-09-2023,Yovic Dev Studio,Photography,500K+,https://play.google.com/store/apps/datasafety?id=com.yovic.girlybanat,https://2022privacyapolicyapp.blogspot.com/
