incorrect,incomplete,inconsistent
0,1,0
1,0,1
0,1,1
1,0,1
1,1,1
1,0,1
0,1,1
1,0,1
1,1,1
0,1,1
0,0,1
1,0,1
0,0,0
0,1,0
1,0,1
0,0,0
1,0,1
0,1,1
1,0,1
0,1,1
1,0,1
1,0,1
0,1,1
1,0,1
1,0,1
0,0,1
0,1,1
0,0,1
0,0,0
1,0,1
0,1,1
0,1,1
0,1,0
0,1,1
1,0,0
0,1,1
0,1,1
0,1,0
1,0,1
0,1,0
1,1,1
1,0,1
1,0,1
1,0,1
1,0,1
1,1,1
0,0,0
0,1,1
1,0,1
0,1,0
0,1,1
0,0,0
1,1,1
0,1,0
0,0,0
0,1,0
1,0,0
0,0,1
1,1,1
1,0,1
0,1,1
0,1,0
0,1,0
0,0,1
1,0,1
0,1,0
0,1,0
0,0,1
0,0,0
0,0,0
1,0,1
0,1,1
0,1,0
0,0,0
1,0,1
0,0,1
0,1,0
0,0,0
0,1,1
1,0,1
errorxxxx
0,1,1
0,1,0
0,1,0
0,1,0
0,0,1
1,1,1
1,1,1
0,1,1
0,0,1
0,0,0
errorxxxx
0,1,1
0,1,0
errorxxxx
1,0,1
0,0,0
0,0,0
0,0,0
0,0,0
1,0,1
0,1,1
1,0,1
0,1,1
0,0,0
1,0,1
0,1,1
1,0,1
0,1,1
1,1,1
0,0,1
0,0,0
1,1,1
1,1,1
0,1,1
errorxxxx
0,1,1
0,1,0
1,0,1
0,1,1
0,1,0
0,1,1
0,0,1
0,0,1
0,0,1
0,0,0
1,0,0
0,1,0
1,1,1
0,0,0
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
0,0,0
0,1,0
1,1,1
0,1,0
errorxxxxx
0,1,1
0,0,0
0,1,0
1,0,1
0,0,0
0,0,1
1,0,1
0,1,0
0,1,0
0,0,1
1,0,1
0,1,0
0,0,0
0,0,1
0,1,0
0,1,1
0,1,0
0,0,0
1,0,0
1,0,1
1,1,1
0,1,1
0,1,1
1,1,1
1,1,0
1,0,1
1,0,1
1,0,1
0,1,1
1,0,1
0,1,0
0,0,1
0,0,0
0,1,0
1,1,1
0,1,0
0,0,0
0,1,1
0,0,0
0,0,0
1,0,1
0,1,0
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
1,0,1
0,1,0
0,0,1
1,0,1
1,0,1
1,1,0
0,0,0
0,1,0
0,0,1
1,0,1
0,0,1
0,0,1
0,0,1
0,1,1
0,0,0
0,0,1
1,1,0
1,0,1
0,0,1
1,1,1
0,0,0
1,0,1
errorxxxxx
0,1,0
0,0,0
0,0,1
1,0,1
0,0,0
0,1,0
1,0,1
0,1,1
1,1,1
0,0,0
1,0,0
0,1,0
0,1,1
1,1,1
0,0,1
0,1,1
1,0,1
0,0,1
0,1,1
1,0,1
0,0,1
0,0,1
0,0,1
0,1,1
0,1,0
0,0,0
0,0,1
0,0,1
1,1,0
1,0,1
0,1,0
0,1,1
0,1,0
0,0,1
0,1,0
0,1,1
0,0,0
0,0,1
1,0,1
0,1,1
