id,app_name,package_name,date_of_analysis,developer,category,number_of_downloads,data_safety_link,privacy_policy_link
1,Once: Perfect Match Dating App,com.udates,15-09-2023,Xeanco Ltd,Dating,1M+,https://play.google.com/store/apps/datasafety?id=com.udates,https://www.getonce.com/policy/?mobile=true
2,Photo Collage Maker Editor,cornera.touchretouch,15-09-2023,cornero apps,Photography,500K+,https://play.google.com/store/apps/datasafety?id=cornera.touchretouch,https://corneroapps.blogspot.com/2018/11/cornero-apps-privacy-policy.html
3,Pict2Cam,com.adriangl.pict2cam,15-09-2023,Adrián García,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.adriangl.pict2cam,http://adriangl.com/project/pict2cam#privacy_policy
4,Blend Photo Editor – Effects,com.multiphotoblender.photomixer,15-09-2023,White Heart Developer,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.multiphotoblender.photomixer,https://whiteheartdeveloper.blogspot.com/2021/09/white-heart-developer-privacy-policy.html
5,Wild Animal Photo Frames,com.appbites.wildanimalphotoframes,15-09-2023,App Bites,Photography,10M+,https://play.google.com/store/apps/datasafety?id=com.appbites.wildanimalphotoframes,https://kirakapps.com/privacy_policy.html
6,Baby Photo Nice Baby wallpaper,com.cuteBaby.BabyPhotos,15-09-2023,PalWorld,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.cuteBaby.BabyPhotos,http://divwallpapers.com/privacyBabyPhotos.html
7,Mobile Phone Photo Frames,freeappshouse.mobile.phone.photo.frames.editor,15-09-2023,Freedom Apps House,Photography,100K+,https://play.google.com/store/apps/datasafety?id=freeappshouse.mobile.phone.photo.frames.editor,https://docs.google.com/document/d/e/2PACX-1vR-30NJ2cHJZ9BX16jqDVpC4CTmeP0its0UoCyIPMyIIiQiR2p4Dks-_RrRsiDf0cR-ZV6pJkT5bL8B/pub
8,"CSL – Meet, Chat, Pla‪y & Date",com.jaumo.casual,15-09-2023,Joyride GmbH,Dating,10M+,https://play.google.com/store/apps/datasafety?id=com.jaumo.casual,https://www.joyridedating.com/privacy
9,Body Plastic Surgery,com.ster.photo.surgery,15-09-2023,Hamsoft,Photography,1M+,https://play.google.com/store/apps/datasafety?id=com.ster.photo.surgery,https://hamsoftgate.appspot.com/privacy/privacy.html
10,Family Photo Frame,com.Family.Photoframee,15-09-2023,DevILApps,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.Family.Photoframee,https://sites.google.com/view/devilapps/privacy-poliicies/privacy-policy-family-photo-framee
11,Body Editor-Make Me Slim & Fit,com.dhaduk.survil.body.curve.shape.editor.maker.photo.video.image.bodyshapeeditor,15-09-2023,Dhaduk Survil,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.dhaduk.survil.body.curve.shape.editor.maker.photo.video.image.bodyshapeeditor,https://dhaduksurvil.blogspot.com
12,Photo Sticker,com.best.photo.apps.doodle.shape,15-09-2023,Hairstyle Photo Apps,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.best.photo.apps.doodle.shape,http://bestphotoapps.ru/privacy-policy.html
13,Photo Collage:  Video Mix Grid,photocollage.videocollage.photoeditor.collagemaker.photogridmaker.photogrid,15-09-2023,Future Me & Make me old,Photography,100K+,https://play.google.com/store/apps/datasafety?id=photocollage.videocollage.photoeditor.collagemaker.photogridmaker.photogrid,https://sites.google.com/view/photovideocollagemaker
14,Photo Par Punjabi Likhe,pub.text.punjabionphoto,15-09-2023,DJ Apps Studio,Photography,100K+,https://play.google.com/store/apps/datasafety?id=pub.text.punjabionphoto,https://djappsstudioprivacypolicy.wordpress.com
15,AI BG Remover - Change BG,com.ahihi.blur.image,15-09-2023,CAM EDITOR STUDIO,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.ahihi.blur.image,https://sites.google.com/view/cam-editor-studio
16,Ugadi photo frames,com.mvltrapps.ugadi.photo.frame.effect,15-09-2023,MVLTR Apps,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.mvltrapps.ugadi.photo.frame.effect,https://mvltrapps.com/privacy-policy.php
17,Transparent photo frames,com.mvltrapps.transparentphotoframe,15-09-2023,MVLTR Apps,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.mvltrapps.transparentphotoframe,https://mvltrapps.com/privacy-policy.php
18,Islamic Photo Frames,com.sknapps.IslamicPhotoFrames,15-09-2023,sknapps,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.sknapps.IslamicPhotoFrames,https://sknapps.blogspot.com/p/privacy-policy-effective-date-january.html
19,Ramadan Mubarak Photo Frames,com.sknapps.RamadanMubarakPhotoFrames,15-09-2023,sknapps,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.sknapps.RamadanMubarakPhotoFrames,https://sknapps.blogspot.com/p/privacy-policy-effective-date-january.html
20,Photo Collage – Photo Editor,com.ak41.photoeditor.pip,15-09-2023,akmobile,Photography,500K+,https://play.google.com/store/apps/datasafety?id=com.ak41.photoeditor.pip,https://sites.google.com/view/ak41-policy
21,Spdate - meet singles nearby o,spdate.online.girlsmeet.chat,15-09-2023,SinglesPath Innovation,Dating,50K+,https://play.google.com/store/apps/datasafety?id=spdate.online.girlsmeet.chat,https://spdatechat.blogspot.com/p/spdate-policy.html?m=1
22,PIXPRO SP360 4K,com.ao.SP360_4K,15-09-2023,JK Imaging Ltd.,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.ao.SP360_4K,https://www.kodak.com/en/company/page/privacy
23,Tser: Transgender Dating Chat,com.td.transdr,15-09-2023,Trans dating & TS meet,Dating,500K+,https://play.google.com/store/apps/datasafety?id=com.td.transdr,https://tser.app/privacy.html
24,Photo Remover,com.video.removebackground.removebackground,15-09-2023,UniTiki,Photography,500K+,https://play.google.com/store/apps/datasafety?id=com.video.removebackground.removebackground,http://108.61.220.32/policy/policy.html
25,Women Pattu Saree Photo Maker,com.kingsstore.WomenPattuSareePhotoMaker,15-09-2023,kings store,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.kingsstore.WomenPattuSareePhotoMaker,https://kingsstore14.blogspot.com/p/privacy-policy.html
26,PhotoStamp: Location Time Date,com.fbd.location.camera,15-09-2023,FB Developers,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.fbd.location.camera,http://adtubeservices.co.in/FBDevelopers/privacy_policy.html
27,Color splash: Change effect,g3.colorsplash.backgroundsplash.changeeffect,15-09-2023,G.3.K,Photography,100K+,https://play.google.com/store/apps/datasafety?id=g3.colorsplash.backgroundsplash.changeeffect,https://coloring-book-for-kids-378ed.web.app/
28,Dating and Chat - Evermatch,com.evermatch,15-09-2023,Evermatch,Dating,10M+,https://play.google.com/store/apps/datasafety?id=com.evermatch,https://sites.google.com/view/evermatch/privacy-policy
29,Circle crop | Photo Cropping,g3.cropphoto.photocrop.cutbackground.photoeditor,15-09-2023,G.3.K,Photography,100K+,https://play.google.com/store/apps/datasafety?id=g3.cropphoto.photocrop.cutbackground.photoeditor,https://coloring-book-for-kids-378ed.web.app/
30,2go Chat - Chat Rooms & Dating,im.twogo.godroid,15-09-2023,2go Interactive,Dating,5M+,https://play.google.com/store/apps/datasafety?id=im.twogo.godroid,https://www.2go.im/privacy
31,Cute Rabbit Face,com.best.photo.app.rabbitface,15-09-2023,Hairstyle Photo Apps,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.best.photo.app.rabbitface,http://bestphotoapps.ru/privacy-policy.html
32,Flirtbees - Video Chat App,com.app.flirtbees,15-09-2023,Flirtbees Video Chat App,Dating,10K+,https://play.google.com/store/apps/datasafety?id=com.app.flirtbees,https://flirtbees.com/privacy-policy
33,Horse Photo Frames,freeappshouse.horse.selfie.photo.frames,15-09-2023,Freedom Apps House,Photography,100K+,https://play.google.com/store/apps/datasafety?id=freeappshouse.horse.selfie.photo.frames,https://docs.google.com/document/d/e/2PACX-1vR-30NJ2cHJZ9BX16jqDVpC4CTmeP0its0UoCyIPMyIIiQiR2p4Dks-_RrRsiDf0cR-ZV6pJkT5bL8B/pub
34,"GayRoyal - Dating, Chat, Love",com.tyteapp.tyte,15-09-2023,42pixels B.V.,Dating,100K+,https://play.google.com/store/apps/datasafety?id=com.tyteapp.tyte,https://www.gayroyal.com/app/privacy/
35,DateMyAge Mature & Senior Date,com.datemyage,15-09-2023,Stende Solutions Limited,Dating,1M+,https://play.google.com/store/apps/datasafety?id=com.datemyage,https://www.datemyage.com/privacy-policy/
36,Women Saree Photo Editor,com.kingsstore.WomenSareePhotoEditor,15-09-2023,kings store,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.kingsstore.WomenSareePhotoEditor,https://kingsstore14.blogspot.com/p/privacy-policy.html
37,Blurry Photo Editor,com.atdev.blurryphotoeditor,15-09-2023,AT Software Developers,Photography,500K+,https://play.google.com/store/apps/datasafety?id=com.atdev.blurryphotoeditor,https://atsoftdeveloper.wordpress.com/
38,Photo editor: Frame for poster,bip.photoeditor.framesforposter,15-09-2023,Bip Studio,Photography,500K+,https://play.google.com/store/apps/datasafety?id=bip.photoeditor.framesforposter,https://sites.google.com/view/bipstudio
39,Lovevite Chinese Dating (交友约会),com.lovevite,15-09-2023,Lovevite,Dating,100K+,https://play.google.com/store/apps/datasafety?id=com.lovevite,https://www.lovevite.com/about/privacy
40,Photo Editor Studio 2021,com.wishant.newbestphotoeditor2018,15-09-2023,Amaze App Developer,Photography,1M+,https://play.google.com/store/apps/datasafety?id=com.wishant.newbestphotoeditor2018,https://sites.google.com/view/photo-editor-studio/home
41,Art pic editor,ringpro.squaregrid.gridmaker,15-09-2023,Ringtones Pro,Photography,500K+,https://play.google.com/store/apps/datasafety?id=ringpro.squaregrid.gridmaker,https://sites.google.com/view/ring-tone-pro/home
42,Stylish Girl Photo Editor,com.kingsstore.StylishGirlPhotoEditor,15-09-2023,kings store,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.kingsstore.StylishGirlPhotoEditor,https://kingsstore14.blogspot.com/p/privacy-policy.html
43,Local Hookup Dating Chat Date,com.localhookupdating.android,15-09-2023,Hook Up Flirting & Dating Apps,Dating,500K+,https://play.google.com/store/apps/datasafety?id=com.localhookupdating.android,https://localhookupdating.com/privacy/
44,Madina Photo Frames,com.madinaphotoframes,15-09-2023,Andro home,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.madinaphotoframes,http://androhomeprivacypolicy.blogspot.com/
45,Photo On Birthday Cake,com.best.photo.app.photoonbirthdaycakes,15-09-2023,Hairstyle Photo Apps,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.best.photo.app.photoonbirthdaycakes,http://bestphotoapps.ru/privacy-policy.html
46,Jay Bhim Photo Frames,com.jaybhim.jaybhimphotoframes,15-09-2023,Andro home,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.jaybhim.jaybhimphotoframes,http://androhomeprivacypolicy.blogspot.com/
47,Status Tâm Trạng,com.ahihi.status.tamtrang,15-09-2023,CAM EDITOR STUDIO,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.ahihi.status.tamtrang,https://sites.google.com/view/cam-editor-studio
48,Women Designer Saree Suits,com.kingsstore.WomenDesignerSareePhotoSuit,15-09-2023,kings store,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.kingsstore.WomenDesignerSareePhotoSuit,https://kingsstore14.blogspot.com/p/privacy-policy.html
49,Lehenga Choli Photo Editor,com.kingsstore.LehengaCholiPhotoEditor,15-09-2023,kings store,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.kingsstore.LehengaCholiPhotoEditor,https://kingsstore14.blogspot.com/p/privacy-policy.html
50,PURE: Anonymous Dating & Chat,com.getpure.pure,15-09-2023,Online Classifieds AG,Dating,5M+,https://play.google.com/store/apps/datasafety?id=com.getpure.pure,https://pure.app/policy/
51,Goddess Saraswati Photo Frames,com.saraswatiphotoframes,15-09-2023,Andro home,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.saraswatiphotoframes,http://androhomeprivacypolicy.blogspot.com/
52,Jesus Photo Frames,com.jesus.jesusphotoframes,15-09-2023,Andro home,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.jesus.jesusphotoframes,http://androhomeprivacypolicy.blogspot.com/
53,Marathi Birthday Photo Frames,com.marathibirthday.marathibirthdayphotoframes,15-09-2023,Andro home,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.marathibirthday.marathibirthdayphotoframes,http://androhomeprivacypolicy.blogspot.com/
55,"AmoLatina - Chat, Meet, Date",com.amolatina,15-09-2023,DMM SOLUTIONS INC.,Dating,1M+,https://play.google.com/store/apps/datasafety?id=com.amolatina,https://www.amolatina.com/privacy-policy/
57,TrulyAsian - Dating App,com.rometic.trulyasian,15-09-2023,ROMETIC,Dating,100K+,https://play.google.com/store/apps/datasafety?id=com.rometic.trulyasian,https://www.trulyasian.com/privacy-policy
58,Boy Hair Photo Editor,com.best.photo.app.boyhairchanger,15-09-2023,Hairstyle Photo Apps,Photography,5M+,https://play.google.com/store/apps/datasafety?id=com.best.photo.app.boyhairchanger,http://bestphotoapps.ru/privacy-policy.html
59,Long Hair Style & Editor,com.cla.longhairs.beststyles.hd,15-09-2023,creationslogicsart,Photography,500K+,https://play.google.com/store/apps/datasafety?id=com.cla.longhairs.beststyles.hd,https://sites.google.com/view/creationslogicsart/home
60,Women Jeans Fashion Tops,com.kingsstore.WomenJeansFashionTops,15-09-2023,kings store,Photography,50K+,https://play.google.com/store/apps/datasafety?id=com.kingsstore.WomenJeansFashionTops,https://kingsstore14.blogspot.com/p/privacy-policy.html
61,"Dating.com™: Chat, Meet People",com.dating.android,15-09-2023,DMM SOLUTIONS INC.,Dating,10M+,https://play.google.com/store/apps/datasafety?id=com.dating.android,https://www.dating.com/privacy-policy/
62,ACDSee Mobile Sync,com.acdsystems.acdseephotosync,15-09-2023,ACD Systems International Inc.,Photography,100K+,https://play.google.com/store/apps/datasafety?id=com.acdsystems.acdseephotosync,https://www.acdsee.com/en/privacy-policy/
63,Smax - Dating & Meet Singles,mobi.skyrock.Smax,15-09-2023,Telefun,Dating,1M+,https://play.google.com/store/apps/datasafety?id=mobi.skyrock.Smax,https://www.smax.com/cgu
65,PIP Photo Effects Filters,com.Photo.PIP.Camera.Picture_In_Picture.Effects.Filters,15-09-2023,Mobi Softech,Photography,1M+,https://play.google.com/store/apps/datasafety?id=com.Photo.PIP.Camera.Picture_In_Picture.Effects.Filters,http://onex-28c2.kxcdn.com/moreapps/MobiSoftech-Privacy-Policy.html
